	R10	R11	R12	R1	R2	R3
Wnt5a	16	14	19	7	11	8
Esd	3797	3502	4505	4512	4110	4141
Lrrc63	0	0	0	0	0	0
Lcp1	1465	1330	1434	951	1286	1323
Cpb2	0	0	0	0	0	0
Zc3h13	584	878	819	959	779	836
Erich6b	0	0	0	0	0	0
Slc25a30	2057	1997	2108	2216	1965	2027
Gpalpp1	547	665	666	780	631	606
Nufip1	337	370	448	528	446	412
Tsc22d1	3313	2842	3246	3789	3121	3138
Enox1	12	22	13	44	10	20
Dnajc15	232	197	235	353	251	233
Epsti1	34	22	38	24	27	29
Tnfsf11	0	0	0	0	0	0
Akap11	847	1237	1130	1537	1062	1143
Rgcc	24	10	10	6	14	14
Tdrd3	246	321	352	387	290	310
Naa16	217	260	294	200	229	256
Diaph3	1432	1786	1930	1338	1731	1768
Mtrf1	63	78	89	96	89	84
Wbp4	565	574	593	766	595	642
Sugt1	1506	1296	1515	1892	1498	1434
Cnmd	0	1	2	3	1	1
Olfm4	1	0	0	1	0	0
Elp3	1074	1042	1298	1561	1203	1135
Scara5	4	2	3	43	4	3
Pbk	1294	1235	1522	1063	1434	1495
Esco2	786	884	961	621	795	808
Ccdc25	330	314	388	458	320	344
Clu	2595	1967	2182	3674	2038	1963
Adam2	0	0	1	0	0	0
Ephx2	20	21	15	12	16	14
Chrna2	0	0	1	0	0	0
Trim35	1277	1310	1552	2167	1517	1617
Stmn4	0	0	2	1	1	0
Dpysl2	741	672	795	1031	868	781
Bnip3l	3181	3151	3708	4012	3508	3427
Ppp2r2a	1567	1776	2057	2517	1844	1832
Ebf2	2	2	2	4	0	1
Nefm	0	0	0	0	0	0
Nefl	0	0	0	0	0	0
Adam7	0	0	0	0	0	0
Adamdec1	0	0	0	0	0	0
Nkx3-1	0	0	0	0	0	0
Pibf1	153	196	184	154	169	181
Entpd4b	0	0	0	0	0	0
Bora	448	540	607	596	477	480
Tnfrsf10b	741	723	892	948	775	778
Rhobtb2	456	479	585	748	479	505
Klhl1	0	0	0	0	0	1
Pebp4	0	1	0	3	0	0
Bin3	361	307	397	452	320	320
Pdlim2	940	703	846	1329	795	741
Sorbs3	52	75	71	27	52	79
Ppp3cc	217	215	216	359	210	210
Slc39a14	462	480	511	1898	507	517
Fam160b2	338	357	429	479	370	389
Hr	220	254	314	350	290	292
Sftpc	0	0	0	0	0	0
Bmp1	3626	3139	3800	6784	3563	3590
Dmtn	508	584	701	1231	574	599
Xpo7	1369	1872	1906	2218	1784	1990
Fgf17	1	0	1	1	0	1
Dok2	1	4	3	3	4	2
Gfra2	1	5	4	1	1	4
Rb1	256	353	330	398	344	309
Rcbtb2	395	397	540	450	521	459
Itm2b	4419	3485	4055	5713	3736	3849
Med4	363	338	398	385	396	405
Sucla2	943	1010	1218	1025	1088	1159
Uchl3	402	446	565	690	549	552
Gpc5	0	0	0	0	0	0
Trim52	0	0	0	0	0	0
Spry2	366	280	329	699	259	300
4930449E01Rik	0	0	0	0	0	0
Rbm26	779	1028	1033	1185	905	1085
Obi1	254	307	377	383	309	350
Ednrb	0	0	1	0	0	0
Scel	1	3	4	2	2	2
Fbxl3	607	641	797	911	698	751
Cln5	251	265	288	393	317	334
Acod1	6	5	9	28	6	7
Dct	0	0	0	0	0	0
Tgds	328	308	336	387	306	311
Gpr180	159	170	228	204	166	195
Cldn10	0	0	0	0	0	0
Dnajc3	1146	1217	1166	1281	1099	1141
Mbnl2	1794	2142	2073	2852	1798	1954
Nipbl	3065	4043	3953	3592	3507	3633
Nup155	1478	2054	2074	1510	1966	2032
Gdnf	10	28	26	23	32	25
Osmr	327	337	335	630	313	308
Fyb	2	0	1	4	3	1
C9	0	0	0	0	0	0
Dab2	1672	2094	2015	1638	1879	1866
Ttc33	281	294	350	415	351	365
Mroh2b	0	0	0	0	0	0
Gzme	0	0	0	7	0	1
Mcpt8	5	3	8	40	8	3
Rab2b	25	30	36	42	34	37
Mettl3	131	153	212	365	182	194
Dad1	458	367	538	611	518	531
Lrp10	1495	1611	1729	2515	1687	1729
Rem2	199	167	202	538	181	202
Haus4	531	579	721	606	689	661
Ajuba	1643	2262	2676	2137	2471	2694
4931414P19Rik	172	168	193	187	192	186
Slc7a8	1	0	0	0	1	1
C6	0	0	0	0	0	0
Fbxo4	240	240	261	273	269	262
Acin1	1658	2068	2315	1934	2147	2196
Oxct1	2290	2501	2828	3550	2594	2524
Gm5546	1	1	5	2	4	2
Drosha	1336	1872	1899	1930	1811	1712
Psmb5	390	284	409	432	471	481
Pabpn1	262	160	274	327	278	310
6030458C11Rik	259	314	349	430	269	329
Pdzd2	5	6	10	11	3	6
Slc22a17	9	3	7	16	7	11
Golph3	2238	2549	2792	3103	2460	2590
Zfr	1938	2317	2306	3246	2012	2182
Efs	11	7	10	7	1	8
Ngdn	325	286	383	716	392	395
Sub1	1793	1588	1936	1414	2067	2094
Npr3	1404	1909	1940	988	1961	1997
Jph4	30	24	44	21	27	22
Dhrs2	0	0	0	0	0	0
Dhrs4	67	84	110	82	109	107
Carmil3	0	1	1	1	1	0
Cpne6	0	0	0	0	0	0
Dcaf11	221	248	254	335	245	253
Fitm1	0	1	2	0	0	0
Psme1	1837	1566	1883	1589	1793	1880
Emc9	115	96	105	209	115	118
Tgm1	52	50	63	34	62	43
Cideb	1	2	3	1	0	0
Adcy4	1	0	0	0	1	0
Ripk3	0	0	0	0	0	0
Sdr39u1	72	88	85	107	87	78
Cma1	0	0	0	0	0	0
Mcpt2	0	0	0	0	0	0
Mcpt1	0	0	0	0	0	0
Zscan26	218	272	263	354	209	244
Atp12a	0	0	0	0	0	0
Sema5a	59	91	68	188	89	83
Cct5	7889	7903	9977	8344	9420	9561
Cmbl	29	25	20	31	5	18
Ropn1l	31	23	29	31	41	30
Ankrd33b	173	168	202	293	188	179
Ctnnd2	1	0	1	6	0	1
Tars	1825	2171	2377	4511	2566	2525
Slc45a2	0	0	0	0	0	0
Amacr	48	49	66	85	57	59
Skor1	0	0	1	0	0	1
Rai14	2193	2463	2454	5062	2415	2475
Brix1	958	1002	1225	1014	1060	1140
Rad1	288	386	463	391	448	467
Ttc23l	0	0	0	0	0	0
Nadk2	942	1000	1184	966	1081	1138
Mtdh	2840	3502	3743	4138	3467	3630
Laptm4b	1348	1312	1486	1956	1382	1484
Sdc2	1944	1932	2053	2087	1949	1902
Dnah5	0	1	0	3	0	0
Trio	740	1123	964	1425	917	1013
Ank	2271	1878	1945	4152	1742	1863
Marchf11	0	0	0	0	0	0
Retreg1	921	879	1051	1067	931	951
Myo10	822	1225	1176	1060	950	1153
Rnf19a	1298	1481	1590	1835	1514	1496
Pabpc1	38401	43599	46271	52762	44189	43512
Ywhaz	9295	10270	11547	10417	11016	10861
Grhl2	485	583	659	707	602	630
4930447A16Rik	0	0	0	0	0	0
Rrm2b	447	544	556	729	511	557
Atp6v1c1	841	894	1098	1232	1008	1032
Baalc	51	56	54	27	61	60
Fzd6	1331	1592	1621	1563	1472	1521
Slc25a32	314	378	438	402	410	397
Dcaf13	763	867	1014	940	995	947
Dcstamp	0	0	1	1	0	0
Dpys	5	1	0	3	0	0
Lrp12	478	635	675	714	616	703
Zfpm2	43	66	62	38	53	60
Oxr1	1449	2028	1967	2091	1668	1840
Angpt1	25	11	17	7	11	12
Csmd3	0	1	0	0	0	1
Eif3h	6281	5287	6283	6085	5875	5844
Utp23	182	143	192	244	168	223
Rad21	8221	9930	10959	7580	9865	10047
Slc30a8	0	0	0	0	0	0
Cdh10	3	0	2	4	4	2
Shcbp1	867	1014	1266	756	1141	1149
Rida	253	249	313	308	286	297
Matn2	423	438	503	490	438	452
Pop1	219	291	396	431	408	425
Stk3	1067	1246	1192	1109	1194	1149
Osr2	104	144	165	131	143	146
Khdrbs3	1	0	0	0	0	0
Zfat	159	198	189	207	175	167
Eif3e	6060	5238	6137	5981	6037	5996
Emc2	783	834	883	725	790	839
Eny2	606	506	704	715	643	706
Ebag9	438	419	439	559	445	411
Sybu	43	76	72	63	64	65
Kcnv1	0	0	0	0	0	0
Myc	2137	3042	3303	3523	2990	3092
A1bg	0	0	0	0	0	1
Washc5	1085	1630	1746	2087	1629	1708
Sqle	1561	1754	1894	1122	1744	1834
Mtss1	2385	2372	2507	3451	2441	2471
Ndufb9	1122	983	1131	1454	1389	1382
Klhl38	11	4	6	4	6	8
Fbxo32	673	723	688	788	645	650
Wdyhv1	491	529	587	635	518	559
Atad2	3678	5450	5350	3841	5050	5383
Zhx1	497	583	526	362	509	479
Gm29394	1	1	0	1	1	3
Tbc1d31	2313	2575	2701	2894	2495	2645
Derl1	2477	2175	2877	3799	2679	2746
Slc22a22	0	1	0	1	0	0
Has2	347	367	386	557	359	319
Mtbp	1128	1298	1462	1139	1308	1370
Mrpl13	1991	1719	2116	2090	2152	2205
Col14a1	2	1	1	2	3	1
Sla	8	12	15	17	12	15
Lrrc6	0	0	0	0	0	0
Adcy8	1	0	2	1	2	0
Asap1	5456	6692	6615	5392	6080	6243
Cyrib	3750	4143	4693	3386	4399	4482
Wnt7b	2644	2551	2919	4087	2729	2836
Ppara	0	2	1	0	0	1
Gtse1	362	508	586	358	532	530
Trmu	25	17	46	58	35	25
Brd1	723	1013	1071	1075	984	1024
Ttll8	0	0	0	0	0	0
Tef	505	556	698	396	684	681
Zc3h7b	1175	1742	1917	1607	1717	1893
Rangap1	2212	2345	2984	2161	2773	2812
L3mbtl2	199	231	229	259	258	282
Rbx1	606	596	722	618	794	820
Xpnpep3	239	315	371	296	305	304
St13	3236	3449	4076	3084	3674	3559
Slc25a17	705	740	863	665	777	781
Adsl	762	800	937	635	935	936
Fam83f	78	79	97	120	83	57
Mief1	434	505	534	710	533	611
Tab1	300	324	365	500	320	326
Syngr1	444	297	393	627	371	431
Cacna1i	3	4	8	1	1	5
Deptor	1158	1236	1263	2038	1083	1165
Dnal4	300	266	306	365	300	284
Nptxr	954	1058	1151	1042	1069	1038
Dscc1	100	105	142	105	171	147
Enpp2	171	94	91	666	81	85
Josd1	1011	1103	1325	1273	1162	1259
Tomm22	1407	1464	1969	1284	1835	1852
Cby1	470	488	586	392	557	556
Dmc1	0	0	0	0	0	0
Ribc2	0	0	0	0	0	0
Smc1b	0	0	0	0	0	0
Csnk1e	1060	1310	1370	1543	1176	1283
Fam118a	193	201	234	288	196	228
Upk3a	0	0	0	0	0	0
Sh3bp1	374	330	400	412	365	428
Samm50	834	855	1116	930	1014	1100
Parvb	259	298	306	531	318	323
Parvg	2	2	1	0	0	0
C1qtnf6	86	129	147	99	133	146
Efcab6	0	0	0	0	0	0
Ttll1	232	254	339	318	288	272
Myh9	12630	15802	15776	14972	15553	15530
Cyp2d26	0	1	0	1	0	0
Adamts20	0	0	0	0	0	0
Ndufa6	499	407	529	561	527	535
Twf1	733	900	948	782	862	919
Smdt1	290	281	382	363	369	397
Naga	529	437	477	618	453	438
Nell2	0	0	0	0	0	0
Wbp2nl	0	0	0	0	0	0
Septin3	0	1	0	0	1	0
Slc38a2	2310	2890	3048	4224	2790	2753
Srebf2	3206	3770	4040	2703	3769	4030
Slc38a4	3	3	4	1	5	10
Rpap3	411	487	584	485	485	514
Endou	0	0	0	0	0	1
Rapgef3	443	380	418	836	384	417
Xrcc6	899	971	1046	1029	988	1071
Desi1	1002	1115	1211	1096	1070	1096
Pmm1	226	186	255	428	238	231
Hdac7	3034	3185	3406	3340	3083	3275
Polr3h	170	137	176	174	160	218
Aco2	3263	3689	4430	3244	3908	4005
Vdr	320	274	275	411	232	220
Col2a1	29	48	48	51	38	34
Hoxc10	0	0	0	0	0	0
Hoxc5	0	0	0	0	0	0
Gtsf1	15	8	6	4	12	10
Nckap1l	1	0	0	2	2	2
Pde1b	0	0	2	0	3	0
Ppp1r1a	0	0	0	0	0	0
Glycam1	0	0	0	0	0	0
Shisa9	0	0	0	0	0	0
Tnfrsf17	0	0	0	0	0	0
Txndc11	430	358	455	484	377	421
Litaf	2215	2367	2641	3062	2558	2564
Prm1	0	0	1	1	0	0
Nubp1	244	236	341	328	349	317
Ciita	8	10	7	2	5	10
Emp2	2765	2483	2850	3425	2575	2633
1810013L24Rik	1246	1330	1462	1814	1350	1478
Bcl6	241	209	243	735	195	233
Trp63	9	3	7	6	6	2
Cldn1	14	10	11	39	11	8
Il1rap	337	320	384	641	304	311
Anks3	119	112	125	185	126	122
Nudt16l1	217	167	218	245	233	230
Mgrn1	949	1115	1224	1432	1068	1085
4930562C15Rik	0	2	0	2	1	0
Srl	55	80	72	84	69	75
Crebbp	422	633	574	746	546	615
Fgf12	0	0	0	0	0	0
Plaat1	0	0	0	0	0	0
Zfp251	191	259	286	290	259	259
Hes1	248	165	257	498	187	170
Zfp263	323	304	357	469	325	342
Atp13a3	2537	3085	3004	3638	2749	3091
Mefv	1	0	0	0	1	0
Glyr1	1013	1106	1307	1241	1170	1173
Tmem44	67	68	78	63	68	65
Lsg1	438	465	530	674	502	523
Rogdi	100	123	143	110	118	112
Septin12	1	0	2	0	2	0
4930451G09Rik	8	5	5	9	5	13
Eef2kmt	321	274	369	483	304	363
Ercc4	214	273	279	280	238	218
Gpt	90	62	56	97	86	76
Apod	1	1	0	0	0	0
Adck5	155	125	183	283	172	167
Cyc1	1193	1121	1556	1435	1467	1487
Sharpin	312	337	333	362	331	296
Maf1	1133	966	1353	1216	1226	1268
Hgh1	104	130	138	230	134	148
Dgat1	137	125	165	185	125	148
Hsf1	636	692	805	872	687	716
Bop1	457	631	732	771	717	757
Mroh1	1029	1219	1234	1893	1077	1201
Fbxl6	229	241	267	358	253	250
Slc52a2	113	107	142	215	132	135
Gpaa1	218	255	313	451	300	242
Oplah	46	39	40	21	35	47
Grina	1068	1050	1094	1665	1013	1020
Plec	2054	3121	2903	3051	3205	3222
Scrib	934	1218	1396	1487	1354	1417
Gfus	493	473	562	540	486	542
Pycrl	260	249	300	297	306	264
Naprt	1	1	2	5	1	0
Gsdmd	515	421	493	426	479	486
Ly6h	0	0	1	0	0	0
Gpihbp1	2	1	1	0	0	1
Rhpn1	37	14	29	47	34	30
Ly6g	0	0	0	0	0	0
Ly6f	0	0	0	0	1	0
Ly6c2	0	0	1	4	0	1
Ly6i	0	0	0	0	1	1
Ly6e	1465	1146	1184	1544	1211	1192
Cyp11b2	0	0	0	0	0	0
Gm9747	0	0	0	0	0	0
Lynx1	56	41	46	53	43	27
Lypd2	0	0	0	0	0	0
Slurp1	1	1	0	0	0	0
Psca	0	0	1	0	0	0
Zbtb11	280	347	339	451	324	316
Arc	11	10	27	9	18	15
Mroh4	0	0	0	0	0	0
Cep97	208	224	210	279	209	235
Ptk2	2854	3558	3807	3315	3547	3566
Mapk12	457	509	536	506	499	529
Miox	0	0	0	0	0	0
Lmf2	565	734	896	1013	780	819
Tymp	5	8	5	8	4	10
Chkb	2	0	3	4	1	3
Mapk8ip2	0	0	0	1	0	0
Arsa	1245	991	1140	1464	1029	1055
Rabl2	74	73	103	102	86	96
Acr	0	0	0	0	0	0
Shank3	0	0	2	0	2	1
Kif21a	498	614	637	839	562	559
Yaf2	513	526	561	631	541	531
Zcrb1	404	411	489	493	444	466
Alcam	619	622	627	1190	573	550
Cblb	283	402	401	752	382	376
Dubr	170	223	217	316	203	238
Bbx	1044	1420	1437	1960	1330	1379
Retnlb	0	0	0	0	0	0
Retnlg	0	0	0	0	0	0
Morc1	0	0	0	0	0	0
Nectin3	313	373	410	294	383	387
Cd96	0	0	0	0	0	0
Tagln3	0	1	0	0	0	0
Gcsam	0	0	0	0	0	0
Cd200	0	0	0	1	0	0
Atg3	269	279	286	367	288	287
Slc35a5	123	150	134	183	135	146
Ccdc80	5	1	2	2	6	5
Cd200r1	1	0	0	0	0	0
Gtpbp8	148	149	177	195	180	130
Mzt2	195	173	240	285	205	196
Prkdc	326	496	410	444	411	431
Mcm4	2033	2929	3314	1878	2912	2996
Ube2v2	227	274	316	319	253	288
Snai2	0	0	0	3	1	1
Cep20	484	404	516	496	485	496
Nde1	1203	1333	1523	1180	1354	1493
Mpv17l	77	77	81	141	85	76
Pdxdc1	1358	1660	1844	1964	1616	1638
Ntan1	554	526	603	565	540	632
Rrn3	624	830	984	924	802	883
Pla2g10	1	0	1	0	0	0
Bfar	318	278	368	548	371	349
Parn	718	709	809	748	758	807
B3gnt5	0	0	0	0	0	0
Boc	97	116	131	95	92	121
Sidt1	0	0	0	0	0	0
Naa50	1949	2295	2642	2638	2538	2579
Ccdc191	125	154	169	169	151	137
Hira	101	143	169	224	165	160
Qtrt2	159	140	203	350	156	209
Drd3	0	0	0	0	0	0
Mrpl40	307	332	416	381	328	415
Gbe1	332	387	465	447	460	451
Zbtb20	454	645	499	584	533	605
Usp7	1791	2660	2545	2399	2326	2427
Pmm2	172	212	205	358	176	191
Tmem114	0	0	0	0	0	0
Dgcr8	236	317	332	262	340	297
Trmt2a	457	456	556	609	469	516
Arl6	171	157	219	229	227	204
Crybg3	537	783	739	604	652	684
Riox2	111	175	172	229	169	182
Gsc2	0	0	0	0	0	0
Cpox	889	981	1226	1700	1188	1272
Cldnd1	618	609	707	776	623	671
St3gal6	211	244	238	308	208	192
Cmss1	146	111	172	241	143	143
Tbc1d23	685	842	829	876	777	780
Klhl22	1207	1197	1431	1544	1281	1290
Nit2	313	289	354	406	329	340
Tomm70a	1972	2573	2784	2922	2564	2664
Tmem30c	0	0	0	0	0	0
Tmem45a	0	0	0	0	0	0
Adgrg7	0	0	0	0	0	0
Slc7a4	74	73	85	111	53	73
Tfg	1008	1223	1321	1276	1228	1278
P2rx6	6	3	4	9	1	4
Lrrc74b	1	2	0	1	2	0
Thap7	153	130	155	270	157	156
Lztr1	1446	1351	1692	1711	1507	1512
Ncam2	0	2	0	1	0	1
Aifm3	83	57	112	110	82	89
Snap29	413	415	457	475	444	420
Serpind1	1	1	0	1	0	1
Ccdc116	0	1	2	3	2	2
Sdf2l1	211	177	273	311	226	220
Dlg1	1818	1870	1947	2778	1967	1863
Ppil2	636	579	707	742	640	636
Senp5	678	857	970	1202	825	851
Ypel1	76	87	105	118	86	113
Ncbp2	350	397	497	391	425	446
Top3b	307	350	383	635	368	358
Meltf	0	1	0	2	0	1
Pak2	2346	3016	3105	3727	2910	2997
Spag6l	0	0	0	0	0	0
Wdr53	88	69	96	78	94	106
Fgd4	59	76	77	114	77	80
Dnm1l	1527	2089	2178	2090	1901	2004
Igsf11	3	8	4	28	6	5
Tnk2	2213	2455	2719	4422	2761	2714
Yars2	188	238	327	274	302	304
B4galt4	234	260	282	244	259	262
Tfrc	2280	4745	5819	3800	5055	5228
Tex55	0	0	0	0	0	0
Arhgap31	181	320	319	274	317	288
Fyttd1	1373	1546	1652	1725	1499	1624
Lrch3	276	400	366	423	343	358
Lmln	38	95	123	90	94	97
Popdc2	4	4	5	3	3	3
Cfap91	0	0	1	2	0	1
Osbpl11	380	472	474	526	487	528
Snx4	1052	1195	1281	1598	1228	1238
Nr1i2	0	0	0	0	0	0
Zfp148	1051	1251	1219	1494	1164	1142
Gsk3b	1018	1377	1291	2020	1250	1291
Umps	758	858	1061	1033	1095	1052
Fstl1	17	37	34	20	37	27
Itgb5	4013	3356	3963	3550	3552	3820
Cyp2ab1	0	0	0	0	0	0
Ndufb4	212	183	209	254	257	276
Hgd	0	2	0	0	1	2
Abcc5	260	325	399	482	343	352
Muc13	4	0	1	3	1	1
Rabl3	65	103	104	150	91	95
Gtf2e1	337	378	459	394	445	413
Stxbp5l	0	0	0	0	0	0
Hcls1	0	0	0	0	1	1
Ropn1	0	0	0	0	0	0
Ccdc14	152	230	208	243	210	235
Mylk	37	43	48	45	47	38
Iqcb1	413	343	416	343	415	358
Eaf2	6	8	14	13	10	7
Adcy5	2	2	0	4	2	1
Ap2m1	2526	2943	3379	3665	3283	3356
Ece2	0	0	0	0	0	0
Clcn2	141	105	126	266	110	135
Pdia5	239	210	274	294	245	271
Thpo	0	3	3	0	0	0
Slc49a4	411	315	399	459	365	388
Hspbap1	66	71	78	173	69	99
Ehhadh	0	1	1	0	1	0
Senp2	866	996	1032	1144	917	983
Tmem41a	127	124	131	195	158	122
Tmprss15	0	0	0	0	0	0
Tra2b	1321	1553	1882	2265	1737	1824
Chodl	0	0	0	0	0	0
Dgkg	0	0	2	3	0	0
Btg3	388	372	423	569	370	390
D16Ertd472e	233	334	343	474	308	291
Cxadr	2189	2335	2435	3689	2208	2344
Usp25	986	1202	1252	1450	1140	1139
Ahsg	0	0	0	0	0	0
Fetub	6	8	9	47	8	9
Kng1	0	0	0	1	0	0
Samsn1	51	75	85	49	58	74
Hrg	0	0	0	0	0	0
Adipoq	0	0	0	0	0	0
Rfc4	507	426	523	588	523	521
Robo1	28	25	23	45	25	29
Eif4a2	5501	4247	4890	5741	4386	4680
St6gal1	683	636	774	1584	711	713
Prl2a1	1	3	4	5	5	7
Masp1	746	585	579	733	552	575
Mrpl39	387	481	530	458	497	505
Atp5j	721	691	890	796	897	941
App	6323	5918	6585	9325	6222	6218
Adamts1	1092	1761	1905	683	1614	1735
Adamts5	103	154	168	28	148	188
Ets2	1229	1208	1301	2287	1266	1201
Dyrk1a	581	725	805	1071	768	751
Vps26c	668	553	691	896	672	659
Slc15a2	0	1	0	6	1	1
Ildr1	11	9	14	16	10	8
Cd86	0	0	0	0	0	0
Stfa2	0	0	0	0	0	0
Kpna1	722	830	966	902	854	896
Parp9	794	767	893	896	813	848
Arl13b	406	403	457	682	422	478
Pros1	149	192	222	287	207	208
Psmg1	190	181	263	347	256	269
Brwd1	444	537	538	686	511	533
Krtap15	0	0	0	0	0	0
Grik1	0	0	0	0	0	0
Fam3b	0	0	0	0	0	0
Pigp	152	134	169	209	159	176
Ripply3	2	2	3	0	3	0
Chaf1b	584	643	736	676	694	741
Dop1b	350	498	382	560	383	432
Cbr3	16	14	21	51	16	20
Setd4	8	23	19	38	24	25
Clic6	0	0	0	0	0	0
Rcan1	239	254	269	272	222	251
Runx1	949	962	975	1781	907	891
Atp5o	833	740	933	942	947	973
Itsn1	893	1201	1228	1088	1114	1249
Donson	345	447	480	354	455	458
Son	2370	3593	3349	3394	3097	3215
Gart	1168	1373	1770	1716	1690	1745
Tmem50b	292	272	285	307	266	289
Ifngr2	584	650	811	821	646	650
Ifnar1	979	1153	1174	1650	1132	1130
Il10rb	220	230	294	400	258	252
Ifnar2	617	577	675	988	609	592
Cfap298	137	141	212	238	190	190
Synj1	330	402	376	652	391	413
Paxbp1	365	463	406	504	341	391
Mis18a	298	271	334	289	341	351
Sod1	2084	1811	2329	2676	2368	2320
Scaf4	503	683	612	770	613	630
Krt75	0	0	0	0	0	0
Zfp641	0	0	0	0	0	0
Lalba	0	0	0	0	0	0
Kansl2	888	1073	1266	1352	1127	1126
Tex49	12	8	17	10	11	12
Adcy6	826	890	994	819	853	989
Enah	1476	1663	1845	2151	1645	1756
Wnt10b	152	146	147	55	119	126
Wnt1	5	4	3	4	2	2
Lmbr1l	151	154	185	307	157	172
Dhh	85	67	83	74	71	52
Tuba1b	5800	6140	8092	5101	8091	8157
Prpf40b	262	259	294	333	259	243
Fmnl3	939	772	922	1779	863	783
Nckap5l	34	47	68	126	56	61
Tmbim6	3711	3666	4273	4479	4057	4203
Faim2	2	2	1	12	2	1
Aqp2	0	0	0	1	0	2
Racgap1	2946	3337	3742	3041	3488	3588
Asic1	38	51	61	171	38	53
Smarcd1	207	333	310	342	294	318
Gpd1	1	0	1	1	0	1
Cox14	393	266	344	506	414	420
Cers5	743	708	845	796	852	799
Lima1	1685	1805	2093	1658	1835	1863
Larp4	1122	1566	1548	1603	1459	1565
Dip2b	359	524	526	567	510	589
Atf1	401	468	512	759	499	566
Slc11a2	455	576	661	683	570	623
Cela1	2	1	1	2	2	1
Slc4a8	189	190	213	370	184	211
Scn8a	125	176	194	152	195	185
Nr4a1	167	188	186	216	178	178
Pcdhgc4	0	1	0	0	0	0
Krt7	8307	8176	9876	13267	9639	9904
Krt6b	0	0	0	0	0	0
Krt18	10223	8951	10950	14731	10363	10094
Csad	153	144	181	200	174	175
Soat2	0	0	1	52	1	0
Igfbp6	4	3	6	10	11	7
Amhr2	1	1	1	0	0	1
Prr13	1147	1211	1397	1610	1268	1285
Map3k12	241	294	356	362	265	308
Tarbp2	183	221	295	224	252	286
Npff	0	1	1	1	0	0
Calcoco1	905	830	882	953	885	864
Fabp2	0	0	0	0	0	0
Sncg	0	0	0	0	0	0
Rttn	239	318	281	273	261	290
Cdkn1a	143	141	146	425	161	136
Nus1	1438	1514	1918	1633	1656	1796
Rgn	13	8	10	22	10	8
Cep89	345	366	433	310	353	396
Slc10a2	0	0	0	0	0	0
Mospd1	193	157	213	281	209	198
Akirin1	768	703	743	969	715	713
Cxcl13	0	0	0	0	0	0
Gtf2ird1	752	954	1023	1325	921	934
H2-M10.2	0	0	0	0	0	0
Lrrc71	0	2	0	0	0	0
Noct	615	810	855	742	804	789
Abcc1	2221	2908	2992	3338	2898	2952
Ndufa5	228	195	262	308	282	308
Fhl1	5	1	2	4	4	1
Pate12	0	0	0	0	0	0
Msrb2	54	61	72	77	78	71
Rfc2	1034	1182	1364	1177	1280	1248
Denr	594	661	765	752	703	683
Prmt5	1053	1275	1304	1652	1313	1202
Sympk	2462	2845	3176	3464	3054	3072
Ldc1	1	0	0	1	0	0
Sult1c2	0	0	0	0	0	0
Gzma	0	0	0	0	0	0
Reg2	0	0	0	0	0	0
Nagpa	70	89	109	124	113	104
Get1	146	143	169	211	183	193
Ivns1abp	2610	3643	3931	5554	3590	3817
Lrrc69	0	0	0	0	1	0
Tmem52	0	0	0	0	0	0
Rpp14	308	295	341	538	346	372
Psg29	0	0	0	0	0	0
Ssxb2	0	0	0	0	0	0
Slc38a1	1005	1447	1337	1972	1368	1388
Gps2	354	420	428	567	418	362
Bsg	6244	5462	6647	7923	6509	6453
Cpn2	0	0	0	0	0	0
Ceacam14	0	0	0	0	0	0
Vwa5a	3925	3347	3531	2480	3274	3197
P3h3	200	218	306	137	255	282
Grm2	0	0	0	0	0	0
Il15ra	106	129	154	114	120	163
Lcn9	0	0	0	0	0	0
Epb42	0	0	0	0	0	0
Serping1	2	0	2	17	2	6
Serinc2	1411	1270	1464	2305	1327	1317
Ccl25	46	35	39	37	31	33
Scg5	1	0	1	5	3	2
Kcnk5	332	215	288	529	271	299
Guca2a	0	0	0	0	0	0
Parp3	266	270	304	411	258	260
Cypt1	0	0	0	0	0	0
Slc26a6	32	26	44	53	39	34
Acy1	291	272	364	276	361	342
9530002B09Rik	0	0	0	0	0	0
Frs3	66	56	90	65	60	64
Gabrr2	0	0	0	0	0	0
Creld2	336	264	379	419	322	367
Cd4	0	0	1	0	0	1
Twf2	526	538	665	483	589	634
Bmp15	0	0	0	0	0	0
Zfp605	41	55	64	77	46	45
Ube2j2	651	643	848	843	726	773
Sva	0	0	0	0	0	0
Marchf5	1459	1444	1631	1703	1518	1567
Ache	10	13	14	44	16	12
Dtwd1	523	589	676	466	589	604
Gcm1	0	0	0	0	0	0
Wfdc1	1	1	0	0	1	0
Mx2	38	19	23	107	22	24
Poc1a	295	345	374	358	373	388
Trip6	1632	1287	1748	1964	1687	1757
Clec4n	0	0	0	1	1	0
Phf8-ps	0	0	0	0	0	0
Agap3	1610	1655	1922	2053	1793	1826
Tmem176a	2836	2109	2533	3129	2449	2497
Kcnk16	0	0	0	0	0	0
Dlx2	8	7	10	3	6	4
Slc17a9	1	5	7	5	4	4
Stk31	0	0	0	0	0	0
Nfatc4	30	27	16	26	23	27
Cela3b	0	0	0	0	0	0
Gnb3	3	1	1	0	1	0
Esx1	0	0	0	0	0	0
Pisd	168	131	170	187	164	162
Tpi1	7208	7098	9377	6788	9452	9431
Rab12	1595	1552	1641	1407	1406	1527
Tulp2	5	2	1	2	3	1
Celsr3	0	0	1	0	0	0
