	R7	R8	R9	R1	R2	R3
Atp6v0a2	380	401	371	434	242	251
Dennd4c	1390	1350	1360	1171	914	1008
Phf2	1220	1179	1201	1099	915	989
Kcnj9	0	0	0	0	0	1
Tigar	236	242	241	144	155	150
Igsf8	2441	2311	2319	2803	2076	2183
Socs1	65	59	47	71	59	56
Gcc2	725	720	714	568	651	700
Ptpdc1	176	212	180	297	162	141
Cct8l1	0	0	0	0	0	0
Sult6b1	1	1	6	4	3	5
Mrm3	185	156	191	118	128	119
Haus6	793	788	850	711	644	679
Cntnap5c	0	0	0	0	0	0
Dexi	242	242	233	261	217	192
Kmt2c	617	698	549	702	378	459
Dbil5	5	1	3	1	2	3
Nod1	153	141	149	113	129	122
Smim3	283	293	304	384	305	319
Dlec1	0	3	0	3	2	3
Cldn22	0	0	0	0	0	0
Mturn	67	84	64	96	78	87
Csf3	526	554	542	2121	883	897
Rnf144b	62	62	66	153	60	61
Cdkn2aip	494	523	569	337	354	365
Cntln	0	0	0	0	0	0
Npy6r	0	0	0	0	0	0
Galnt11	214	216	251	299	219	234
Fkbp14	88	91	74	117	85	97
Kcna6	0	0	0	0	0	0
Tmem237	516	559	522	553	512	493
Kdm1b	594	564	592	401	360	407
Opa1	1693	1698	1600	1671	1499	1491
Cnbd2	6	5	8	12	3	3
Hspb2	161	139	112	71	95	119
Hsd3b5	0	1	0	0	0	0
Atp13a4	5	0	2	81	0	4
Sbno1	1191	1257	1271	1194	991	990
Trappc11	1258	1268	1228	992	1063	1062
AW551984	0	0	0	0	0	0
Ano2	0	0	0	1	0	0
Phf20	1600	1641	1643	1401	1113	1166
Cdon	544	526	507	644	454	451
Fam210a	887	916	850	748	721	780
Tbc1d32	313	328	348	314	284	258
Mphosph9	81	90	97	91	82	81
Ccdc50	2296	2266	2161	2184	1818	1986
Camk4	68	74	54	42	59	54
Rbm24	1	2	0	5	1	1
Crygn	4	4	3	3	5	5
Tmem181a	250	267	254	247	178	177
Stox2	0	0	0	0	1	0
Snrk	617	638	649	632	390	428
Notch3	44	40	36	165	36	32
Cd84	0	0	0	0	0	0
Cldn16	0	0	0	0	0	0
Ormdl3	513	413	480	490	294	274
Prdm1	3	6	8	18	15	8
5033430I15Rik	41	41	51	19	28	26
Gstp2	19	22	24	15	15	17
Spon1	7	15	14	2	9	4
Atg5	567	520	547	466	443	451
1700022A21Rik	0	0	0	0	0	0
Plekhg6	107	101	95	91	39	59
P3h2	37	29	29	70	32	41
Pde4dip	1146	1113	1126	1287	872	881
Ttc39b	883	874	829	1012	604	663
Enpp6	0	0	0	0	0	0
Fam126b	228	223	169	246	121	142
Mylip	166	140	150	275	126	166
Slc43a2	368	397	398	563	342	347
Slamf7	0	1	0	0	0	0
Spag4	35	32	28	46	44	49
Chpf2	341	315	337	273	305	324
Btbd10	470	462	460	379	282	293
Scarf1	1	2	1	1	2	0
Cer1	0	0	0	0	0	0
Hand2	0	0	0	1	0	0
Rilp	16	19	7	16	12	11
Iqca1l	0	0	0	0	0	0
Kcna7	2	8	6	11	4	3
Hoxa13	31	21	25	24	17	16
Asb10	1	0	0	0	2	0
Prkab2	237	226	224	220	113	117
Fbxo8	484	518	487	436	412	443
Pgap3	44	36	46	67	35	44
Itln1	0	0	0	0	0	0
Hoxa11	0	0	1	0	0	0
Mfsd14b	1313	1326	1279	1072	1049	1094
Tapbpl	282	247	255	164	216	234
Bend3	159	177	164	174	169	169
Cep44	494	488	513	423	414	460
Pnmt	0	0	0	0	0	0
Tlcd2	90	87	86	36	76	84
Gm9765	0	0	0	1	0	0
Serpinf2	0	0	0	0	1	0
Primpol	438	473	401	494	385	357
Hoxa9	13	21	13	26	12	9
Gask1a	0	0	0	0	0	0
F11r	2823	2630	2582	2717	1939	1868
Hoxa7	248	264	235	277	201	189
Hrc	13	15	10	9	4	5
Pdss2	251	293	253	175	220	221
Cep250	816	946	903	803	777	892
Aox4	0	0	1	0	0	0
Mical2	458	449	364	1061	401	453
Fam50b	0	0	0	1	2	0
Sobp	16	21	11	8	8	6
Usp38	671	666	609	550	499	480
Ncapd2	2830	2958	2871	2040	3172	3289
Hoxa5	2889	2820	2743	2462	2469	2500
Neurod2	0	0	0	0	0	0
Bcl9	1020	1122	1065	980	922	985
Glra3	0	0	0	0	0	0
Gdf5	2	1	1	0	0	0
Trpm4	713	679	657	587	528	548
Sema7a	263	245	243	462	198	215
Slc22a23	378	423	382	665	265	285
Ovca2	17	20	22	28	22	17
Iffo1	0	0	0	0	0	0
Fau	5555	5514	5400	5206	5309	5456
Asic3	5	7	5	5	2	1
Nop2	1283	1259	1299	1000	807	819
Ostm1	494	472	448	384	298	336
Bphl	281	312	290	415	275	294
Smg6	1341	1364	1264	1301	971	948
Snx25	584	557	518	499	528	567
Kash5	1	0	1	3	1	2
Atg9b	241	210	215	285	194	248
Galnt18	0	0	2	0	0	1
Pdzk1	1	5	2	0	1	1
Wdr36	4365	4457	4408	5143	3266	3397
Pth2	0	0	0	0	0	0
Snx10	770	811	753	775	630	656
Afg1l	182	176	174	122	110	111
Cd160	0	0	0	0	0	0
Spats2l	5	1	4	5	3	0
2410017I17Rik	0	0	0	0	0	0
Edem2	1142	1043	1021	1098	935	978
Kcnh2	40	39	41	41	22	31
1700066M21Rik	236	226	261	211	200	210
Trpc4ap	3452	3339	3170	2789	2855	2894
Serpinb9f	1	1	1	2	0	0
Pramel32	0	0	0	0	0	0
Satb2	94	101	98	140	84	68
Sesn1	471	462	460	234	424	444
Tsr1	721	773	774	601	563	502
Mlxip	1053	1071	1073	1057	769	798
Txlng	339	326	348	301	280	263
Zfp384	502	528	544	535	397	447
Tcte2	56	67	66	53	69	66
Plcl1	20	10	7	32	9	8
Sgsm2	995	956	976	928	700	786
Arl5c	2	1	5	1	1	3
Ankrd35	1	3	1	2	3	1
Camp	0	2	0	0	0	0
Fbxo25	756	692	689	501	532	531
Lasp1	7301	6924	6906	7842	6693	7119
Focad	620	574	563	530	598	586
Ncoa6	1734	1783	1664	1700	1307	1444
Pcp4l1	0	0	0	0	0	0
Sbf2	1968	1880	1805	2085	1661	1724
Gmds	478	415	395	431	342	427
Rbm8a	1591	1589	1578	1211	1410	1414
Trp53inp2	317	308	340	347	319	301
Ttk	1237	1234	1246	759	1117	1126
Pigu	468	416	459	407	360	353
Setd1b	592	736	661	674	562	562
Rras	1798	1684	1548	1490	1571	1715
Mpp6	1387	1423	1390	1513	1474	1371
Gpr162	28	28	31	28	30	21
Txnip	16952	15518	15612	6118	7753	8290
Upf3a	534	530	524	697	543	535
Pmepa1	1560	1407	1404	1450	1476	1502
Foxf2	2	1	4	4	1	0
Hjv	1	1	0	0	0	1
Scaf1	2631	2626	2665	2046	2001	2147
1700018A04Rik	0	0	0	0	0	0
Higd1a	297	316	317	425	370	367
Foxq1	10	14	17	71	7	7
Cdc16	1671	1706	1786	1845	1528	1558
Fig4	718	703	741	492	579	640
Egr1	121	204	341	704	516	517
Fcrla	0	1	0	0	0	0
Hdhd3	94	99	102	92	88	77
Poli	395	383	380	465	299	281
Usp5	1900	1934	1963	1523	1678	1728
Mllt6	1494	1478	1495	1546	1017	1159
Cdc40	1135	1110	1111	870	1003	970
Spsb2	268	254	226	191	173	168
Srcin1	33	31	24	34	11	17
Dennd2a	69	56	77	24	71	64
Tmem255b	0	0	0	0	0	0
Abhd17c	1209	1075	1120	1227	1027	1096
Uqcrfs1	1753	1762	1771	1618	1778	1820
Olfml2b	73	72	72	73	99	97
Chmp4b	2157	2050	2015	2156	1660	1601
Nos1ap	16	9	9	134	9	12
Cdk19	1417	1466	1428	1315	966	1024
Tfdp1	2736	2651	2777	2174	2518	2657
Socs7	980	964	985	843	604	710
Sv2a	49	52	44	53	47	48
Polr2l	195	188	189	173	251	284
Cdk19os	1	1	1	0	0	1
Otud7b	2559	2644	2501	1824	1828	1911
Slc19a3	0	0	0	0	0	0
Tmco3	594	635	619	653	491	562
Catsper1	0	0	0	0	0	0
Prr3	220	218	234	347	178	166
Ptov1	1297	1163	1182	1156	1222	1248
Mesd	846	836	813	753	735	793
Dcun1d2	216	223	226	246	179	160
Parp12	1467	1251	1244	652	782	850
Gdf15	3	1	1	1	1	0
Rpf2	496	473	538	441	467	432
Grtp1	43	45	43	49	36	42
Tbkbp1	429	401	470	735	398	415
Jarid2	207	245	238	227	189	195
Tbc1d17	1105	1104	1118	907	759	788
C1s1	121	110	94	344	154	153
Mfsd4b1	0	0	0	0	0	0
1700003F12Rik	1	0	0	0	2	0
Fchsd1	309	298	346	282	152	156
Armc10	1388	1337	1306	1212	1195	1227
Car14	7	10	6	5	6	10
C1rl	35	39	34	65	59	57
Mfsd4b5	0	0	0	0	0	1
Rgs4	0	1	0	1	0	0
Cbfa2t2	962	991	975	798	640	737
Osbpl7	395	369	416	380	243	259
Zfp280d	624	561	581	501	409	418
Mc3r	0	2	0	1	3	4
Ubn2	785	870	688	521	501	561
Atf5	970	924	1011	1305	458	382
Tmc3	0	0	0	0	0	0
Srd5a2	0	0	0	0	0	0
Pcid2	667	642	624	605	546	600
BC028528	0	0	0	0	0	0
Inip	424	439	435	410	238	272
Cul7	1339	1296	1316	1034	1153	1166
Ranbp9	1513	1378	1450	1093	930	1049
Ciart	103	66	108	117	47	26
Fndc4	630	595	621	546	477	467
Reep2	0	0	0	0	0	0
Sp6	5	3	4	5	4	3
Efl1	497	458	463	439	386	402
Ift172	414	427	468	672	407	456
Cyp24a1	0	4	1	93	2	2
Rad9b	14	19	25	33	16	16
Saxo2	5	6	5	11	3	5
Bpifb5	0	0	0	0	0	0
Susd4	72	65	52	196	55	53
Susd1	375	396	353	335	419	424
Sct	0	0	0	0	0	0
Pptc7	916	881	865	796	507	613
Pln	16	14	9	9	4	6
Akap12	1344	1284	1164	1152	1725	1753
Colec10	0	0	1	0	0	0
Tctn1	257	250	245	277	201	200
Cep85l	216	172	169	116	121	155
Shoc1	0	2	1	3	1	1
Capn8	0	0	0	0	0	0
Atp6v0a4	1	1	1	1	0	1
Slc35f1	5	3	5	5	3	4
Ripor1	1674	1588	1601	1266	1012	994
Samd10	263	225	217	150	259	232
Gng10	7	4	5	7	2	5
Dock10	5	1	3	7	1	2
Phrf1	1651	1723	1681	1295	1202	1179
Mcl1	3256	3274	3096	2633	2572	2642
Nfe2l1	12450	11806	11876	11300	7252	7405
Rassf7	683	654	655	332	576	561
Ensa	1229	1183	1114	1079	1064	1133
Med30	447	412	396	346	432	409
Tm6sf1	6	3	1	1	1	3
Nepn	0	1	0	1	0	0
Polr3k	454	481	443	527	420	455
Zkscan16	0	0	2	0	0	0
Degs1	1287	1164	1266	1597	1104	1125
Lrrc56	17	18	9	22	15	15
Akr1d1	0	0	0	0	1	0
Ctss	0	1	0	3	1	4
Pold1	2421	2346	2213	1575	2200	2161
Ramac	645	616	617	419	473	509
Creb3l2	764	724	642	805	588	665
Rnh1	2377	2291	2112	2330	2220	2256
Sycp2l	0	0	0	0	0	0
Cyp3a16	0	0	0	0	0	0
Ric1	1365	1232	1185	876	814	856
Fsd2	3	2	3	2	0	3
Herc1	1146	1365	985	958	1052	1095
Dgki	1	0	0	1	0	0
Lpar1	149	131	125	178	131	127
Mybpc2	6	4	3	0	2	4
Arfrp1	343	359	376	417	294	292
Ucn	0	0	0	0	0	0
Scube3	431	404	422	126	272	277
Trps1	1961	2113	1933	1866	1448	1534
Pak1ip1	905	897	903	1024	676	699
Rtel1	446	558	526	705	479	442
Atp5j2	996	1027	1000	808	1215	1143
Mbd3l1	0	0	0	0	0	0
Hoxb4	0	0	0	0	0	0
Josd2	180	147	179	231	126	115
Mapkap1	857	816	736	839	737	756
Taf5l	1533	1484	1535	1342	1268	1316
Hoxb5	0	0	0	0	0	0
Dsel	269	242	249	225	171	219
Aspdh	0	1	0	0	0	0
Gmeb2	453	451	472	549	366	354
Golga4	2397	2388	2356	2780	1690	1882
Txndc8	0	0	0	0	0	0
Mindy1	569	558	568	631	431	427
Atp5l	562	551	516	463	544	507
Pbx3	474	464	420	327	392	373
Hoxb7	0	0	0	0	0	0
Bud31	733	694	749	502	573	498
Pkhd1l1	1	0	0	0	0	0
Mboat1	934	934	910	901	876	930
Wdr26	4530	4254	4382	4096	3457	3799
Nudcd1	1812	1677	1780	1341	1516	1444
Shank1	20	24	17	54	22	22
Mvb12b	751	674	678	728	536	580
Angptl6	93	94	101	164	33	27
Nlrp6	0	0	0	0	0	0
Omt2b	0	0	0	0	0	0
Ptk6	0	0	0	0	0	0
Elovl3	0	0	1	0	0	1
Ttll6	7	7	9	8	9	4
Nup205	2870	2917	2861	2080	3128	3226
Trhr	0	0	0	0	0	0
Abcf1	3410	3355	3562	3289	3292	3199
Alpk3	0	4	1	0	0	0
Ptpn3	633	652	705	625	493	506
Lmx1b	0	0	0	1	0	0
Gabpb2	949	1044	1022	991	866	893
9130409I23Rik	0	0	0	0	0	0
Kpna7	0	0	0	0	0	0
Kdm3b	2246	2173	2067	1645	1545	1559
Ascc3	1058	1119	1100	1160	854	925
Vill	32	33	34	79	29	40
Ephx1	483	457	398	547	396	379
Sema6c	212	193	224	156	131	129
Smurf1	2448	2258	2258	2413	1572	1673
Stap2	256	343	308	449	295	281
1700028J19Rik	5	4	2	4	3	4
Cnot4	550	519	516	341	386	384
Scgb3a2	0	0	0	0	0	0
Lefty1	1	0	0	2	0	6
Zscan2	151	158	169	145	98	115
Scgb1c1	0	0	0	0	0	0
Ost4	459	462	427	319	442	502
Six3	0	0	0	0	0	0
Sde2	1080	1042	999	827	683	775
Rap1gap2	347	332	323	587	264	320
Gngt2	0	4	1	4	0	0
Trmt112	983	881	903	769	957	961
Ctnnal1	1081	1105	1100	1250	1208	1119
Hace1	413	407	389	344	370	339
Abitram	215	196	207	197	117	147
Tmem214	767	690	768	495	545	541
Ralgps1	162	143	149	145	75	82
Agbl3	25	23	13	32	41	43
Vars2	1163	1115	1125	943	865	917
Birc7	0	0	0	0	0	0
Gcnt1	16	33	15	16	17	20
Kif16b	665	678	706	745	562	590
Phb	1750	1678	1690	1125	1664	1642
Ythdf1	1591	1593	1589	1379	1174	1236
Itpkb	758	791	787	581	579	597
Baiap2l1	1037	1031	1015	861	691	659
Garnl3	240	200	181	187	200	158
Pi4kb	682	686	657	544	494	466
Zcchc2	964	1003	996	1168	623	666
Bpgm	197	208	213	162	160	168
Zfhx3	1158	1399	1157	981	880	988
Rnf146	174	196	172	143	150	141
Nipal2	147	161	148	129	114	143
Mrps34	493	523	488	406	380	385
Prl3a1	0	0	0	0	0	0
Shfl	223	208	201	249	126	134
Man2a2	1282	1127	1185	1448	953	1103
Ctu1	221	186	221	155	141	173
Prl3b1	0	0	0	0	0	0
Fam117a	95	103	78	143	72	76
Irs2	2721	2671	2647	1720	1918	2062
Zfp653	98	72	89	90	77	73
Rpl12	9131	9025	8813	10725	9053	8979
Pogz	1050	1100	1099	920	798	811
Ccdc68	117	128	97	118	112	104
Kat7	2888	2806	2865	2098	2149	2196
Plcl2	1	0	1	1	0	0
Dido1	636	734	734	500	557	574
Soga3	0	0	0	0	0	0
3930402G23Rik	17	18	15	21	34	38
E330034G19Rik	0	0	0	0	0	0
Rccd1	139	122	115	109	70	95
Tcfl5	0	0	0	0	0	0
Sccpdh	708	679	715	586	574	605
Prc1	3765	3589	3728	2229	3316	3282
Cnst	544	537	505	419	343	329
Supt3	344	349	383	508	366	319
Edc3	850	881	858	656	627	617
Slco4a1	118	106	103	655	127	93
Ube2l3	1642	1643	1565	1539	1541	1656
Pdk2	391	410	354	262	217	236
Klk1b16	0	0	0	0	0	0
Lmtk2	2198	2053	1915	1990	1620	1735
Cldnd2	0	0	0	0	0	0
Rabggtb	1431	1364	1352	1308	1188	1262
Ppp1r9b	2237	2328	2300	2790	2031	2234
Rbbp8nl	5	4	2	2	5	7
Bloc1s5	291	270	300	244	220	231
Tspyl5	0	0	1	0	0	0
Cfap157	26	20	21	20	22	14
Cables2	402	368	401	395	269	311
Txndc5	3414	3105	3256	3340	3142	3180
H1f9	1	0	0	0	0	0
Asb17	0	0	0	0	0	0
Ube3c	2300	2275	2257	2165	1918	2111
Rps21	1626	1583	1575	1887	1870	2061
Bmp6	1	0	0	4	2	1
Tlr4	514	555	507	658	505	524
Cpq	47	50	47	75	49	38
Siglecf	0	0	0	0	0	0
Timm8b	408	359	329	359	365	399
Mtg1	221	234	212	194	255	222
Ttc16	1	1	2	5	5	1
Arhgap18	520	504	483	1557	767	789
Tsga13	0	0	0	0	0	0
Tasp1	136	156	143	145	139	171
St6galnac5	0	0	0	0	0	0
Adrm1	1263	1292	1244	970	1034	1068
Arpin	1077	1047	978	734	879	1008
Usp6nl	2778	2771	2614	3119	2151	2321
Pigk	752	682	687	729	564	584
Foxred1	725	648	680	412	493	553
Osbpl2	738	761	711	834	592	654
Eme1	342	351	340	191	309	279
Myo16	3	6	3	2	3	2
Ak5	32	25	19	54	23	29
Hrh3	1	0	0	0	0	0
Anpep	1	4	0	2	1	1
Echdc3	501	446	476	596	499	510
Atpsckmt	196	239	215	194	184	182
Psmd7	2716	2512	2715	1833	2251	2383
Zzz3	1241	1269	1268	1401	905	922
Mtg2	251	262	239	266	160	166
Cpa4	0	1	0	0	0	1
Trhr2	0	0	0	0	0	0
Zfp503	2426	2439	2484	1844	1768	1982
Chad	1	1	0	9	5	0
Ss18l1	161	162	153	180	93	106
Rreb1	756	841	782	1034	597	627
L3mbtl3	282	309	313	256	256	226
Sptlc3	0	0	0	0	0	0
En2	0	0	0	0	0	0
Rsad1	111	132	131	118	108	107
Rln1	0	0	0	0	0	1
Gm9767	0	0	0	0	0	0
Wdr93	4	5	6	2	6	3
Marchf6	3134	3165	3079	3112	2524	2566
Nexn	191	215	210	123	220	226
Atp6v1g1	1586	1518	1450	1566	1206	1276
Htr5a	0	0	0	0	0	0
Lsm14b	1131	1124	1179	1065	907	962
F13a1	2	1	0	35	3	3
Mycbpap	3	3	3	3	4	0
Nrn1	0	0	0	0	0	0
Itga9	2	0	5	2	1	0
Adgrg6	1309	1320	1281	1331	1005	1048
Taf4	783	761	787	797	663	705
Prune2	15	14	9	56	12	13
Cdc123	1309	1318	1323	1194	1154	1223
Zc3hc1	846	818	811	556	651	713
Gipc2	294	278	283	332	240	267
9330171B17Rik	0	3	0	1	0	1
Whrn	94	92	71	115	69	92
4930591A17Rik	0	0	0	0	0	0
Camk1d	330	354	338	297	159	177
Ifi44l	5	1	2	5	0	2
Sart1	1601	1631	1690	1255	1332	1399
Runx2	790	885	804	1046	624	650
Shd	0	0	2	2	0	0
Cdh26	1	0	0	1	0	0
Stim2	801	780	787	1070	827	877
Fam102a	140	132	151	246	105	92
Akna	70	68	76	123	42	27
Ube2h	2392	2346	2237	2646	1746	1768
Cmc1	300	298	240	360	259	285
Naif1	101	93	106	138	107	119
Akap7	655	653	606	444	567	551
Adgrl4	0	1	0	1	0	0
Dap	2860	2802	2764	4388	3020	2975
1700003H04Rik	0	0	0	0	0	0
Polg	1157	1180	1171	725	745	841
Tbc1d19	373	393	369	276	318	348
Tekt5	0	0	0	0	0	0
AW209491	250	235	227	254	156	183
Nubp2	430	436	488	381	328	365
Fanci	264	272	257	205	313	356
Rbpj	4441	4171	4194	4004	3564	3754
Nlrc4	3	1	2	0	3	0
Rlbp1	0	0	0	0	0	0
1110008P14Rik	311	308	296	1316	451	458
Orm1	0	0	0	0	0	0
Adk	899	782	833	632	961	901
Ptchd3	1	0	0	0	0	0
Zdhhc1	303	332	308	370	254	255
Atf7ip2	92	84	66	54	67	73
Tbc1d25	226	236	226	256	157	164
Abhd2	3418	3465	3261	4698	2693	2821
Ciz1	757	721	798	1070	581	589
Daglb	264	280	272	289	250	252
Metrnl	443	403	373	437	424	406
Rpl39l	0	0	0	0	0	0
Gpatch2	439	405	403	435	328	348
Svs1	0	0	0	0	0	0
Il18	18	21	20	43	21	19
Srrm2	7600	7894	7022	8320	6151	6685
Arid4b	900	882	875	711	662	696
Ppp1r10	699	711	736	588	581	588
Rpl22l1	500	529	476	557	483	532
D1Pas1	0	0	0	0	0	0
Tbcd	780	760	744	780	646	673
Suv39h1	646	613	603	480	521	550
Stx11	308	311	327	228	170	190
Tbce	199	214	206	229	176	204
Sec24d	1682	1527	1593	1552	1498	1555
Isg20	413	372	347	595	428	415
Zfp750	1	0	0	1	0	0
Tgfb2	1174	936	947	350	685	740
B3galnt2	214	216	244	245	242	281
E130309D02Rik	365	365	372	374	317	294
Lyplal1	49	63	58	69	52	58
Lgi2	22	34	24	67	29	39
Fn3krp	421	376	415	312	288	278
Pomt1	499	495	506	398	397	434
Vstm2b	0	0	0	0	0	0
Prrc2b	4969	5173	4998	5987	3909	4421
Npepl1	1194	1212	1139	1026	900	982
Gimap3	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0
Megf9	196	204	193	133	133	139
Foxk2	2220	2159	2122	1638	1794	2034
Pcsk1n	2	1	0	1	0	0
Azi2	859	830	853	909	746	839
Fndc3b	1868	1843	1768	2659	1439	1536
Cybc1	622	670	584	641	484	496
Spdye4a	0	0	0	0	0	0
Cdk5rap2	898	964	956	943	716	788
Tnfsf10	66	71	48	28	32	28
Hexdc	108	118	111	104	111	111
Ndst2	454	406	382	419	300	349
Minar1	0	0	1	0	0	0
Clnk	0	1	1	1	0	1
Rftn1	4	3	0	3	1	2
Rab3gap2	1290	1274	1240	1563	951	1003
Uts2r	0	0	0	0	0	0
Igfbp2	2	0	0	0	0	0
Rnf122	425	398	372	202	246	242
Tex19.1	0	1	0	0	0	0
Tsga10ip	1	1	1	0	0	1
Spata16	0	0	0	0	0	0
Tex19.2	0	0	0	0	0	1
Mfsd4b2	0	0	0	0	0	0
Ankar	0	0	0	0	0	0
Mettl22	115	88	103	111	84	90
Atp6v0e2	119	73	89	91	73	51
C130074G19Rik	6	8	12	85	11	17
Smarcal1	455	449	460	564	389	427
Exosc2	417	416	452	349	307	302
Fut11	255	272	270	269	265	273
Drd5	0	0	0	0	0	0
Picalm	3600	3566	3622	3533	2705	2826
Sectm1b	2	2	1	10	0	0
Sec24c	2588	2455	2400	2593	2158	2234
Marchf4	0	2	3	6	5	3
Wdr17	0	0	0	0	0	0
Synpo2l	3	4	1	5	0	1
Hlx	360	345	306	270	254	266
Wdr45	217	195	228	303	190	177
Dusp10	949	896	935	557	492	495
Cdh6	0	0	0	1	0	0
Ccdc81	0	2	0	1	0	0
Mreg	182	159	169	192	115	116
Neil3	482	477	502	259	411	475
Prss23	265	228	207	112	349	385
Prdm16	0	0	0	0	0	0
Heatr5b	962	965	911	980	934	989
Cntnap2	0	0	0	0	0	0
Alg1	190	143	166	146	83	95
Tmem135	730	621	620	824	587	529
Mtmr7	5	16	12	21	13	12
Ttc36	1	0	0	0	0	1
Prpf18	832	781	791	694	662	700
Dcxr	63	42	55	185	74	83
Snx22	42	27	32	77	18	19
Morc3	900	901	881	842	719	773
Ppl	1641	1661	1629	1219	1243	1157
Mtmr12	1138	1086	1102	792	908	966
Tcta	101	106	100	106	79	68
Col10a1	0	1	0	3	1	1
Slc9a8	189	187	173	263	127	148
Zdhhc2	1695	1647	1649	957	1626	1625
Ubn1	1245	1328	1270	1007	779	872
Wfs1	393	362	370	545	273	312
Prrx2	4	1	3	6	6	2
Tnrc18	4504	4789	4691	3608	3085	3308
Micu3	239	221	204	190	163	185
Nt5dc1	295	273	284	252	219	210
Nrtn	127	125	112	113	133	114
Asb6	504	496	510	422	304	302
Tspyl4	53	79	68	49	48	43
Cntn5	0	0	0	0	0	0
Ccdc27	0	3	0	0	0	0
Cdnf	21	21	23	38	13	16
Dse	659	700	695	615	692	681
Znfx1	1514	1385	1346	960	791	835
Calhm4	1	0	2	0	1	0
Nup133	1887	1834	1872	1165	1823	1813
Uhrf1bp1	1072	1023	1019	836	685	704
Ptpa	2375	2417	2241	2079	2111	2275
Cdsn	84	72	100	100	32	25
Cyp7b1	43	38	49	25	35	36
Foxp3	3	0	0	1	0	2
Cep104	301	321	329	364	281	313
Atp8b1	51	60	50	50	28	41
Zup1	209	215	194	155	135	172
Mmd2	0	0	0	0	0	0
Stau1	1844	1732	1851	1640	1375	1423
Sgcz	0	0	0	0	0	0
4921524L21Rik	0	0	0	0	0	0
Ncam1	2	0	0	0	0	2
Cfap70	0	0	0	1	0	1
Flicr	0	0	0	1	0	0
Ajap1	0	0	0	0	0	0
Rsph4a	0	0	0	0	0	0
Cylc2	0	0	0	0	0	0
Ppp1r3f	4	6	4	10	2	5
2210406O10Rik	0	1	2	5	3	2
Ubald1	584	535	597	433	367	340
Nphp4	0	1	0	0	0	0
Ccser1	0	0	0	0	0	0
Grin3a	0	0	2	4	1	0
Myo9a	669	798	638	622	621	623
Fam149b	361	380	342	428	343	345
Rcan2	5	3	4	3	0	4
Rbms3	0	0	0	0	0	0
Olfr303	0	0	0	0	0	0
Pgap4	0	0	1	2	0	0
Stub1	682	699	742	849	664	596
Mocos	348	296	285	276	238	225
Gm7488	12	18	15	19	11	15
Trmt9b	5	2	3	16	2	2
Prex1	123	151	148	391	135	141
Ap5z1	170	148	174	198	87	104
Hs3st6	0	0	0	0	0	0
Strip2	18	22	20	6	10	12
Hnrnpu	8173	8348	8479	6830	8156	8261
Odad3	2	4	1	1	1	2
Lonrf1	275	289	313	246	171	186
Zfp189	138	144	141	95	90	93
Coro7	448	401	359	468	274	267
Kcne1	0	0	0	0	0	1
Mrpl12	1197	1173	1162	1121	1190	1194
Vasn	342	302	288	405	278	269
Kyat1	82	76	64	128	47	61
Cpeb3	81	104	61	93	64	71
Baat	0	2	1	1	1	2
Rxrb	1670	1696	1582	1522	1134	1215
Spout1	343	289	281	310	274	263
Dusp26	2	0	0	0	0	0
Icmt	1022	1002	975	878	681	720
Oxld1	104	103	135	120	98	88
Zmynd8	559	636	625	553	538	563
Kcne2	0	0	0	0	0	0
Capsl	6	1	7	17	4	7
Tbc1d13	624	676	609	632	451	498
Mrps6	170	199	170	282	186	196
Lap3	2080	1965	1970	1873	1740	1812
Sdk1	0	0	0	0	0	0
Gm5422	5	4	7	2	9	12
Zer1	681	706	712	610	521	555
Tspan10	0	0	0	0	0	0
Msantd3	313	334	377	246	340	314
Ncoa7	624	687	690	543	613	607
Batf2	9	12	7	6	3	8
Usp53	418	412	354	339	261	313
Nploc4	2406	2354	2490	1744	1776	1860
Lmbrd2	1745	1923	1775	1988	1602	1634
Ldb2	1	0	0	0	1	0
Slc7a12	0	0	0	0	0	0
Plekhg5	380	352	336	274	240	228
Cplx3	2	1	0	2	1	1
Dync2i2	327	320	293	291	249	260
Dock3	0	0	0	0	0	0
Ralyl	0	0	0	0	0	0
Got1l1	0	0	0	0	0	0
Trp53rka	207	177	189	178	139	144
Slc6a5	0	0	0	0	0	0
Fnbp1l	2139	2168	2175	2354	1621	1746
Prkrip1	419	385	425	297	317	324
Slx4	430	432	462	367	350	408
Alg2	486	486	473	745	368	355
Bahcc1	104	117	117	22	61	77
Fam71f1	46	50	28	72	38	44
Htatip2	572	568	562	652	474	499
Orai2	210	205	198	264	158	135
Exo1	673	656	653	320	509	521
Fbxl5	1810	1686	1598	2289	1409	1525
Alkbh4	143	113	114	115	66	88
Dnttip2	1490	1588	1624	997	971	1023
Thap3	383	379	364	411	245	277
Il22ra2	0	0	0	0	0	0
Dnajc28	80	122	77	64	61	48
Cc2d2a	340	361	340	393	411	438
Dnajc11	789	818	814	626	570	607
Ypel5	894	794	854	960	635	624
Polr2j	419	404	426	369	363	364
Galnt12	172	158	145	191	141	155
Defb3	0	0	0	0	0	0
Cep131	596	620	676	571	483	518
Cpeb2	478	440	432	220	275	321
Kmo	4	5	4	3	4	4
Defb5	0	0	0	0	0	0
Cercam	10	12	16	12	4	11
Zfp597	89	105	69	112	66	49
Zfand1	366	402	367	598	368	355
